Gene_ID,Gene_Name,length,PMID
293,Ant,1,[21565011]
12156,BMP-2,1,[18758902]
12606,C/EBPalpha,1,[18654820]
847,CAT,1,[11076735]
6347,CCl(2,1,[17815194]
6348,CCl(3,1,[17815194]
12504,CD4,1,[22834904]
920,CD4,1,[17015966]
4512,COI,2,"[10620402, 10684348]"
12842,COL1A1,1,[18758902]
10592,Cape,1,[17746622]
27159,ChiA,1,[17225927]
4519,Cytochrome b,1,[22403623]
13906554,DHFR,3,"[20040594, 21181485, 22266402]"
362783,EML1,1,[18773201]
280781,Elastin,1,[23012370]
2153,FVL,1,[21212568]
2517,Fuca,4,"[11538298, 19712334, 18626013, 11377773]"
8350,Histone H3A,1,[22403623]
3303,Hsp72,1,[20034233]
3552,IL-1,1,[14594044]
16153,IL-10,1,[22834904]
16156,IL-11,1,[18758902]
3596,IL-13,1,[12325458]
3606,IL-18,1,[12325458]
3559,IL-2R,1,[14594044]
16189,IL-4,1,[22834904]
3565,IL-4,1,[12325458]
3569,IL-6,1,[14594044]
390221,KB1,1,[12460284]
4524,MTHFR,1,[21212568]
2011,Mark 2,1,[675876]
4155,Mbp,1,[19542347]
4538,NADH dehydrogenase subunit 4,1,[20436906]
3429252;11123895,NADH dehydrogenase subunits 1 and 2,1,[9718728]
9437,NCR1,1,[23029093]
13825445,ND1,1,[22943309]
4535,ND1,1,[11254145]
4536,ND2,1,[23029093]
4538,ND4,2,"[20436906, 17531795]"
4681,NO3,1,[11697249]
68585,Nga,1,[22834904]
4951,OM,1,[11588258]
18383,OPG,1,[18758902]
4924652,ORF2,1,[18648877]
1277,Oi-1,1,[18833277]
5054,PAI-1,1,[14567942]
5091,PCB,1,[15005139]
112476,PKC,1,[15677861]
19016,PPARgamma,1,[18654820]
23210,PSR,1,[22461855]
2185,PTk,1,[8561479]
21943,RANKL,1,[18758902]
102353290,RH1,1,[11164035]
102347432,RH2,1,[11164035]
54922,Rain,1,[17749926]
2717040,RbcL,1,[2247456]
12393,Runx 2,1,[18758902]
6647,SOD,1,[11076735]
10575,SRB,2,"[17615672, 17958319]"
6750,SST,1,[17816543]
80303,SWS2,1,[18321400]
6395,Sea,61,"[18986686, 23761304, 21673885, 28996384, 11932742, 21209665, 17734144, 16204523, 22279770, 12815427, 12853947, 17815194, 17832066, 10993072, 10568266, 17734497, 20403651, 17832269, 10568278, 11008690, 18301656, 9929396, 11827122, 16587738, 21106571, 19312284, 21072925, 16577777, 15155944, 19125919, 22654595, 32355379, 17815318, 16782605, 16289233, 16003476, 17078975, 22319518, 9632383, 15616560, 21394432, 10568292, 16307081, 16876294, 30261710, 16905428, 18478171, 22165213, 20616277, 22837002, 14654285, 11693652, 15292952, 15501835, 12521155, 19829318, 16307087, 17687593, 19863720, 15651637, 22133021]"
10927,Spin,1,[10991082]
7124,TNF-alpha,1,[14594044]
23471,TRAM,1,[7966000]
7298,Thymidylate synthase,1,[18648921]
11338,U2AF65,1,[15777616]
31,accA,2,"[21209665, 21597940]"
31,acetyl-CoA carboxylase,1,[21209665]
850504,actin,1,[12443924]
293,adenine nucleotide translocase,1,[21565011]
11450,adiponectin,1,[18654820]
103351595,angiotensin converting enzyme,1,[18175939]
4508,atp6,1,[18506498]
4509,atp8,1,[18506498]
342371,boat,2,"[12872704, 9591146]"
12156,bone morphogenetic protein-2,1,[18758902]
801,calmodulin,1,[21565011]
847,catalase,3,"[11076735, 19406803, 18368287]"
2652,cbbM,2,"[16269773, 22212659]"
6279,cglA,1,[16926183]
27159,chiA,1,[17225927]
9021,cis-3,1,[1982497]
1431,citrate synthase,1,[11076735]
13435590,cox1,1,[22760028]
4512,cox1,2,"[22723855, 21167065]"
13435585,cox2,1,[22760028]
4513,cox2,1,[18506498]
13435586,cox3,1,[22760028]
4514,cox3,1,[18506498]
55997,cryptic,1,[21676767]
2716703,cytochrome b,1,[15019608]
4519,cytochrome b,1,[14653791]
800066,cytochrome b,1,[10525676]
804052,cytochrome b,1,[10782336]
18667072,cytochrome c oxidase subunit I,1,[18852450]
4512,cytochrome c oxidase subunit I,1,[20436906]
4512,cytochrome oxidase subunit I,1,[10684348]
13906554,ecDHFR,3,"[20040594, 21181485, 22266402]"
280781,elastin,1,[23012370]
56637,glycogen synthase kinase 3beta,1,[21505471]
2028,gp160,1,[17015966]
3009,h(-1),1,[23761360]
3094,hint,1,[9508548]
137872,hot,1,[18497290]
3630,insulin,1,[7061647]
16156,interleukin-11,1,[18758902]
4524,methylenetetrahydrofolate reductase,1,[21212568]
18383,osteoprotegerin,1,[18758902]
5053,pH,1,[21238259]
7416,porin,1,[8759872]
5617,prolactin,1,[9312439]
5626,prop-1,1,[17958319]
362783,rEML1,1,[18773201]
54922,rain,1,[17749926]
5901,ran,1,[17097733]
57521,raptor,1,[1295523]
2717040,rbcL,1,[2247456]
21943,receptor activator of NF-kappaB ligand,1,[18758902]
100358545,renin,1,[18175939]
102353290,rhodopsin,1,[11164035]
6010,rhodopsin,3,"[2926694, 5449001, 18321400]"
12393,runt-related transcription factor 2,1,[18758902]
6395,sea,66,"[18986686, 23761304, 20529945, 21673885, 15366767, 20406905, 21829635, 21209665, 17734144, 17799186, 17799557, 16204523, 17994287, 21227302, 22279770, 12815427, 12459585, 21510391, 17832066, 20203858, 17813083, 17731184, 21282152, 9092467, 17734497, 17746922, 20403651, 19799620, 14711622, 17956843, 13899129, 11008690, 18301656, 20673676, 22403671, 16136140, 18804843, 15155944, 910239, 22654595, 21376366, 17816008, 11543277, 19437605, 17078975, 17819561, 11786639, 11787666, 21394432, 10568292, 30261710, 16905428, 22165213, 2651424, 22837002, 15292952, 12597171, 22809187, 21756228, 16307087, 17687593, 19863720, 15651637, 12940362, 14649862, 21525990]"
3635,ship,3,"[28974285, 18288534, 16373547]"
10927,spin,1,[10991082]
10575,sulforhodamine-B,1,[17615672]
21354,tap,1,[18758902]
7007,tecta,1,[11079422]
7298,thymidylate synthase,1,[18648921]
5327,tissue-type plasminogen activator,1,[14567942]
4569,trnM,1,[18506498]
280781,tropoelastin,1,[23012370]
No Data,type 1 and 2,1,[17015966]
